Date,Price
9-Aug-15,265.6
8-Aug-15,261.3
7-Aug-15,280.1
6-Aug-15,279.1
5-Aug-15,282.6
4-Aug-15,285.5
3-Aug-15,281.3
2-Aug-15,282.5
1-Aug-15,280.3
31-Jul-15,284.5
30-Jul-15,288.2
29-Jul-15,289.9
28-Jul-15,295.2
27-Jul-15,294.8
26-Jul-15,293
25-Jul-15,289.4
24-Jul-15,288.6
23-Jul-15,276.5
22-Jul-15,278
21-Jul-15,275.8
20-Jul-15,280.3
19-Jul-15,275
18-Jul-15,277.3
17-Jul-15,279.9
16-Jul-15,278.9
15-Jul-15,285.4
14-Jul-15,286.9
13-Jul-15,292.6
12-Jul-15,311.1
10-Jul-15,286.7
9-Jul-15,269.2
8-Jul-15,270.8
7-Jul-15,265.5
6-Jul-15,274.8
5-Jul-15,265.2
4-Jul-15,260.6
3-Jul-15,256
2-Jul-15,254.5
1-Jul-15,258.1
30-Jun-15,262.9
29-Jun-15,256.7
28-Jun-15,248.7
27-Jun-15,251.6
26-Jun-15,243.3
25-Jun-15,242.1
24-Jun-15,239.8
23-Jun-15,244.3
22-Jun-15,246.7
21-Jun-15,244.3
20-Jun-15,245.4
19-Jun-15,244.6
18-Jun-15,249.5
17-Jun-15,248.9
16-Jun-15,252.1
15-Jun-15,237
14-Jun-15,233.5
13-Jun-15,232.9
12-Jun-15,229.4
11-Jun-15,229.8
10-Jun-15,228.6
9-Jun-15,229.1
8-Jun-15,228.8
7-Jun-15,223.3
6-Jun-15,225.6
5-Jun-15,224.5
4-Jun-15,223.2
3-Jun-15,225.1
2-Jun-15,224.7
1-Jun-15,222
31-May-15,228.7
30-May-15,232.5
29-May-15,236.5
28-May-15,236.9
27-May-15,236.9
26-May-15,237.4
25-May-15,237.1
24-May-15,240.9
23-May-15,238.8
22-May-15,241
21-May-15,235.3
20-May-15,234.2
19-May-15,231.7
18-May-15,232.8
17-May-15,236.2
16-May-15,235.7
15-May-15,237.3
14-May-15,236.7
13-May-15,235.8
12-May-15,241.8
11-May-15,242.5
10-May-15,240.6
9-May-15,242.5
8-May-15,244.5
7-May-15,237.3
6-May-15,229.3
5-May-15,235.9
4-May-15,238.5
3-May-15,240.7
2-May-15,234.8
1-May-15,231.8
30-Apr-15,236.1
29-Apr-15,225.2
28-Apr-15,225.3
27-Apr-15,227.7
26-Apr-15,219.7
25-Apr-15,226.1
24-Apr-15,231.4
23-Apr-15,236
22-Apr-15,234.1
21-Apr-15,235.8
20-Apr-15,224.2
19-Apr-15,222.2
18-Apr-15,223.1
17-Apr-15,222.4
16-Apr-15,228.5
15-Apr-15,224
14-Apr-15,220.2
13-Apr-15,225
12-Apr-15,236.4
11-Apr-15,236.9
10-Apr-15,236.1
9-Apr-15,243.6
8-Apr-15,244.9
7-Apr-15,253.7
6-Apr-15,255.6
5-Apr-15,260.5
4-Apr-15,253.6
3-Apr-15,254.2
2-Apr-15,253.2
1-Apr-15,246.9
31-Mar-15,244.3
30-Mar-15,247.9
29-Mar-15,242.4
28-Mar-15,252.9
27-Mar-15,246.5
26-Mar-15,249.2
25-Mar-15,245.9
24-Mar-15,246
23-Mar-15,267.2
22-Mar-15,268.8
21-Mar-15,260.5
20-Mar-15,262.2
19-Mar-15,261.9
18-Mar-15,257.3
17-Mar-15,285.3
16-Mar-15,291.2
15-Mar-15,286.9
14-Mar-15,282.6
13-Mar-15,283.3
12-Mar-15,295.6
11-Mar-15,296.7
10-Mar-15,292.7
9-Mar-15,291
8-Mar-15,275.6
7-Mar-15,277
6-Mar-15,273.2
5-Mar-15,277.7
4-Mar-15,273.3
3-Mar-15,283.8
2-Mar-15,277.3
1-Mar-15,262.4
28-Feb-15,255.7
27-Feb-15,255
26-Feb-15,236.9
25-Feb-15,238
24-Feb-15,239.7
23-Feb-15,239.4
22-Feb-15,236.5
21-Feb-15,245.6
20-Feb-15,244.5
19-Feb-15,240.2
18-Feb-15,236.3
17-Feb-15,244
16-Feb-15,233.6
15-Feb-15,235.9
14-Feb-15,257.2
13-Feb-15,236.1
12-Feb-15,222.4
11-Feb-15,219.8
10-Feb-15,220.9
9-Feb-15,221.1
8-Feb-15,224
7-Feb-15,229
6-Feb-15,223.2
5-Feb-15,216.8
4-Feb-15,227.1
3-Feb-15,228.6
2-Feb-15,237.8
1-Feb-15,229
31-Jan-15,218.4
30-Jan-15,229.1
29-Jan-15,235
28-Jan-15,236.1
27-Jan-15,263.6
26-Jan-15,274.5
25-Jan-15,254.5
24-Jan-15,240
23-Jan-15,235
22-Jan-15,226.3
21-Jan-15,225.5
20-Jan-15,218
19-Jan-15,213.2
18-Jan-15,209.9
17-Jan-15,201.2
16-Jan-15,206.7
15-Jan-15,217.7
14-Jan-15,183.2
13-Jan-15,229.8
12-Jan-15,267.6
11-Jan-15,266.2
10-Jan-15,275
9-Jan-15,292.8
8-Jan-15,285.6
7-Jan-15,297
6-Jan-15,285.4
5-Jan-15,273.2
4-Jan-15,258.8
